@RELATION BOW 

@ATTRIBUTE Text string 

@ATTRIBUTE Klase {neutral,positive,negative}
@DATA


'I feel all alone on #twitter. #itstolate"',negative
'@jessecablek I want it too. Now just wondering who will be carrying it in November. Or direct purchase from #google / #samsung"',positive
'Why didn´t @Apple merge the address and search bars in Safari ala Crome in iOS 5? #simplethings"',neutral
'Gotta love #Twitter - shit goes round the World like lightning-on-speed..."',positive
'#Twitter it´s been a pleasure but I have to go exercise and eat dinner! Possibly be back b4 I sleep? We´ll c! I am #BLESSED & we all are! =)"',neutral
'Incredible: 4 million iPhone 4Ss in 3 days. 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s"',positive
'Video: SIRI also gets angry. http://t.co/Ku288WX6  @chrisvoss @apple #apple #siri #iphone4S #Ai"',neutral
'@Apple Not Likely to Win Appstore Suit Case Against @Amazon http://t.co/GNcDGQsc"',neutral
'Register now for your Galaxy Nexus :) http://t.co/37WkIoXC #Android #Google"',positive
'On Google+ then go here http://t.co/SxmLkaRR #GPlus #Googleplus #Google #teamfollowback #socialnetwork"',neutral
'When #Microsoft ""violated U.S. antitrust laws""â€”leaving #Netscape out of business & #Novell woundedâ€”it played ""dumb"". http://t.co/0WHHmAK4"',negative
'. if u need me just text me o wait u i wont get it cuz @apple fucks me every time #fuckingpissed"',negative
'http://t.co/Pl4ZeEvH - Android 4.0 SDK now available #google #android http://t.co/sVlrVxTR"',neutral
'#Job #ICT System Engineer (m/w): planova human capital ag, Luzern http://t.co/2PJo4Dqr #Microsoft #IT"',neutral
'Everything Can Be A Digital ... http://t.co/fG0wfyWl #microsoft #carnegiemellon"',neutral
'@OccupyWallSt #Apple stock DOWN despite #iPhone monumental SALES = #ocuupy #GOOGLE & #Verizon--i smell a #conspiracy!"',neutral
'New Galaxy Nexus: App Improvements -  New People App to improve contact information #nexus #samsung #google #android bit.ly/nEJbyE"',neutral
'Check out our newly revamped Testimonials page for more information on how #Microsoft #Dynamics #CRM can work for you!  http://t.co/hmT51bdf"',neutral
'Goodnight everyone #twitter off"',neutral
'This Data Usage feature looks amazing on ICS. #android #samsung #google #GALAXYNexus"',positive
'#Google search to have default encryption http://t.co/rwgKPbGu"',neutral
'Watching this week´s episode of Hawaii Five-O. Great use of Windows Phone 7 & SkyDrive. Oh yeah a Dell Inspiron Duo was there too #microsoft"',neutral
'Hey @apple, the SMS full message is complete shit. Yes, I´m annoyed."',negative
'Follow me and I follow you!! @iOS5 @fansoflilwayne @follow @apple"',neutral
'#stupid fucking #Twitter #Twitterapp give me my Damn #mentions NOOWWWWWW!!!!! UGH! #DRAWLIN AS ALWAYS #TMW #PROMOALLDAY #FOLLOWLIMITISGAY TO"',negative
'Loving my new #iPhone4S thanks @apple for #ios5"',positive
'Calling All #IceCreamSandwich Lovers | #Google & #Samsung Like in Hong Kong - A new look at what´s new from Android http://t.co/lfpPk5Yk"',neutral
'OH: Sales guy @BestBuy: ""I´m not selling or using any @apple products during my mourning period over Job´s passing."" hmmm.."',neutral
'@apple u guys are gay"',negative
